GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2016 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2016 inflation-adjusted dollars)
8600000US90805,90805,ZCTA5 90805,45878,2547
8600000US90806,90806,ZCTA5 90806,47034,2781
8600000US90807,90807,ZCTA5 90807,72401,3414
8600000US90808,90808,ZCTA5 90808,97500,5442
8600000US90810,90810,ZCTA5 90810,51271,3274
8600000US90813,90813,ZCTA5 90813,31775,1601
8600000US90814,90814,ZCTA5 90814,61093,4332
8600000US90815,90815,ZCTA5 90815,79809,3224
8600000US90822,90822,ZCTA5 90822,-,**
8600000US90831,90831,ZCTA5 90831,-,**
8600000US91001,91001,ZCTA5 91001,89906,5071
8600000US91006,91006,ZCTA5 91006,90829,8330
8600000US91007,91007,ZCTA5 91007,75353,5081
8600000US91008,91008,ZCTA5 91008,102917,20866
8600000US91010,91010,ZCTA5 91010,63090,4533
8600000US91011,91011,ZCTA5 91011,158281,10355
8600000US91016,91016,ZCTA5 91016,67868,4164
8600000US91020,91020,ZCTA5 91020,70014,9114
8600000US91024,91024,ZCTA5 91024,95256,8174
8600000US91030,91030,ZCTA5 91030,84683,6895
8600000US91040,91040,ZCTA5 91040,70841,7300
8600000US91042,91042,ZCTA5 91042,51461,5780
8600000US91046,91046,ZCTA5 91046,20417,5633
8600000US91101,91101,ZCTA5 91101,61473,3795
8600000US91103,91103,ZCTA5 91103,62697,5970
8600000US91104,91104,ZCTA5 91104,70208,4945
8600000US91105,91105,ZCTA5 91105,107284,13897
8600000US91106,91106,ZCTA5 91106,75160,4048
8600000US91107,91107,ZCTA5 91107,84663,6412
8600000US91108,91108,ZCTA5 91108,141739,15139
8600000US91201,91201,ZCTA5 91201,54603,4922
8600000US91202,91202,ZCTA5 91202,62104,4030
8600000US91203,91203,ZCTA5 91203,48849,6435
8600000US91204,91204,ZCTA5 91204,41586,3296
8600000US91205,91205,ZCTA5 91205,38138,2194
8600000US91206,91206,ZCTA5 91206,53911,6436
8600000US91207,91207,ZCTA5 91207,86190,11402
8600000US91208,91208,ZCTA5 91208,111563,8659
8600000US91210,91210,ZCTA5 91210,160132,81747
8600000US91214,91214,ZCTA5 91214,91255,4668
8600000US91301,91301,ZCTA5 91301,115125,6370
8600000US91302,91302,ZCTA5 91302,120288,8450
8600000US91303,91303,ZCTA5 91303,48238,4050
8600000US91304,91304,ZCTA5 91304,62690,2638
8600000US91306,91306,ZCTA5 91306,62748,2304
8600000US91307,91307,ZCTA5 91307,103161,3422
8600000US91311,91311,ZCTA5 91311,80792,3243
8600000US91316,91316,ZCTA5 91316,66128,7444
8600000US91320,91320,ZCTA5 91320,109810,5828
8600000US91321,91321,ZCTA5 91321,62237,6538
8600000US91324,91324,ZCTA5 91324,63368,5091
8600000US91325,91325,ZCTA5 91325,60593,2670
8600000US91326,91326,ZCTA5 91326,101656,2510
8600000US91330,91330,ZCTA5 91330,-,**
8600000US91331,91331,ZCTA5 91331,53714,2161
8600000US91335,91335,ZCTA5 91335,51263,1896
8600000US91340,91340,ZCTA5 91340,55463,3742
8600000US91342,91342,ZCTA5 91342,63895,2824
8600000US91343,91343,ZCTA5 91343,58285,2822
8600000US91344,91344,ZCTA5 91344,81335,2644
8600000US91345,91345,ZCTA5 91345,65818,5950
8600000US91350,91350,ZCTA5 91350,101695,3614
8600000US91351,91351,ZCTA5 91351,70663,4703
8600000US91352,91352,ZCTA5 91352,51047,2191
8600000US91354,91354,ZCTA5 91354,116009,6156
8600000US91355,91355,ZCTA5 91355,89889,6267
8600000US91356,91356,ZCTA5 91356,68817,3666
8600000US91360,91360,ZCTA5 91360,90459,4993
8600000US91361,91361,ZCTA5 91361,109966,7929
8600000US91362,91362,ZCTA5 91362,103894,4152
8600000US91364,91364,ZCTA5 91364,96635,7121
8600000US91367,91367,ZCTA5 91367,80751,5492
8600000US91371,91371,ZCTA5 91371,-,**
8600000US91377,91377,ZCTA5 91377,121348,10263
8600000US91381,91381,ZCTA5 91381,117835,9142
8600000US91384,91384,ZCTA5 91384,102744,5316
8600000US91387,91387,ZCTA5 91387,84930,4514
8600000US91390,91390,ZCTA5 91390,108391,5644
8600000US91401,91401,ZCTA5 91401,49153,3574
8600000US91402,91402,ZCTA5 91402,39095,1769
8600000US91403,91403,ZCTA5 91403,83241,4176
8600000US91405,91405,ZCTA5 91405,39472,1880
8600000US91406,91406,ZCTA5 91406,49764,2833
8600000US91411,91411,ZCTA5 91411,47126,3961
8600000US91423,91423,ZCTA5 91423,81753,5802
8600000US91436,91436,ZCTA5 91436,137683,12951
8600000US91501,91501,ZCTA5 91501,61048,9065
8600000US91502,91502,ZCTA5 91502,40083,8219
8600000US91504,91504,ZCTA5 91504,74006,6132
8600000US91505,91505,ZCTA5 91505,80389,3788
8600000US91506,91506,ZCTA5 91506,73661,5334
8600000US91601,91601,ZCTA5 91601,50275,2113
8600000US91602,91602,ZCTA5 91602,72417,6822
8600000US91604,91604,ZCTA5 91604,94583,6436
8600000US91605,91605,ZCTA5 91605,44913,2381
8600000US91606,91606,ZCTA5 91606,42273,2318
8600000US91607,91607,ZCTA5 91607,56096,3726
8600000US91608,91608,ZCTA5 91608,-,**
8600000US91701,91701,ZCTA5 91701,83426,5757
8600000US91702,91702,ZCTA5 91702,59027,3256
8600000US91706,91706,ZCTA5 91706,53693,1636
8600000US91708,91708,ZCTA5 91708,82833,25269
8600000US91709,91709,ZCTA5 91709,97222,4426
8600000US91710,91710,ZCTA5 91710,72969,2213
8600000US91711,91711,ZCTA5 91711,94509,7940
8600000US91722,91722,ZCTA5 91722,69708,4928
8600000US91723,91723,ZCTA5 91723,60053,6117
8600000US91724,91724,ZCTA5 91724,80797,7335
8600000US91730,91730,ZCTA5 91730,63567,2538
8600000US91731,91731,ZCTA5 91731,34554,2492
8600000US91732,91732,ZCTA5 91732,44421,2246
8600000US91733,91733,ZCTA5 91733,40841,1714
8600000US91737,91737,ZCTA5 91737,99333,5118
8600000US91739,91739,ZCTA5 91739,100336,9389
8600000US91740,91740,ZCTA5 91740,68487,3186
8600000US91741,91741,ZCTA5 91741,88612,4654
8600000US91744,91744,ZCTA5 91744,60784,1753
8600000US91745,91745,ZCTA5 91745,79280,3860
8600000US91746,91746,ZCTA5 91746,61357,2981
8600000US91748,91748,ZCTA5 91748,61740,2694
8600000US91750,91750,ZCTA5 91750,78375,4711
8600000US91752,91752,ZCTA5 91752,64960,5356
8600000US91754,91754,ZCTA5 91754,58833,5815
8600000US91755,91755,ZCTA5 91755,48350,3878
8600000US91759,91759,ZCTA5 91759,56250,28660
8600000US91761,91761,ZCTA5 91761,65154,2599
8600000US91762,91762,ZCTA5 91762,50309,1944
8600000US91763,91763,ZCTA5 91763,50573,3921
8600000US91764,91764,ZCTA5 91764,50728,1455
8600000US91765,91765,ZCTA5 91765,90690,5628
8600000US91766,91766,ZCTA5 91766,50412,1817
8600000US91767,91767,ZCTA5 91767,52184,3393
8600000US91768,91768,ZCTA5 91768,46964,3853
8600000US91770,91770,ZCTA5 91770,46862,2717
8600000US91773,91773,ZCTA5 91773,78799,4974
8600000US91775,91775,ZCTA5 91775,79637,3677
8600000US91776,91776,ZCTA5 91776,49443,2916
8600000US91780,91780,ZCTA5 91780,62461,3958
8600000US91784,91784,ZCTA5 91784,102209,6267
8600000US91786,91786,ZCTA5 91786,51651,2147
8600000US91789,91789,ZCTA5 91789,93231,3587
8600000US91790,91790,ZCTA5 91790,72746,2569
8600000US91791,91791,ZCTA5 91791,73917,5609
8600000US91792,91792,ZCTA5 91792,67843,3858
8600000US91801,91801,ZCTA5 91801,51867,1931
8600000US91803,91803,ZCTA5 91803,57380,4462
8600000US91901,91901,ZCTA5 91901,81603,13372
8600000US91902,91902,ZCTA5 91902,90184,8400
8600000US91905,91905,ZCTA5 91905,31051,18079
8600000US91906,91906,ZCTA5 91906,49000,13399
8600000US91910,91910,ZCTA5 91910,55492,2743
8600000US91911,91911,ZCTA5 91911,51383,1874
8600000US91913,91913,ZCTA5 91913,83693,6204
8600000US91914,91914,ZCTA5 91914,124578,7047
8600000US91915,91915,ZCTA5 91915,104170,6753
8600000US91916,91916,ZCTA5 91916,84076,24159
8600000US91917,91917,ZCTA5 91917,76065,39471
8600000US91931,91931,ZCTA5 91931,24083,14181
8600000US91932,91932,ZCTA5 91932,48010,1975
8600000US91934,91934,ZCTA5 91934,25354,13019
8600000US91935,91935,ZCTA5 91935,100976,10855
8600000US91941,91941,ZCTA5 91941,71197,3284
8600000US91942,91942,ZCTA5 91942,55753,3194
8600000US91945,91945,ZCTA5 91945,59025,3337
8600000US91948,91948,ZCTA5 91948,-,**
8600000US91950,91950,ZCTA5 91950,41867,1768
8600000US91962,91962,ZCTA5 91962,100302,36199
8600000US91963,91963,ZCTA5 91963,42563,34728
8600000US91977,91977,ZCTA5 91977,58937,2260
8600000US91978,91978,ZCTA5 91978,61508,5351
8600000US91980,91980,ZCTA5 91980,-,**
8600000US92003,92003,ZCTA5 92003,71128,6796
8600000US92004,92004,ZCTA5 92004,33487,14997
8600000US92007,92007,ZCTA5 92007,98264,17756
8600000US92008,92008,ZCTA5 92008,77802,5488
8600000US92009,92009,ZCTA5 92009,112189,6579
8600000US92010,92010,ZCTA5 92010,97770,7731
8600000US92011,92011,ZCTA5 92011,105049,5394
8600000US92014,92014,ZCTA5 92014,120882,17310
8600000US92019,92019,ZCTA5 92019,74400,4324
8600000US92020,92020,ZCTA5 92020,50617,2045
8600000US92021,92021,ZCTA5 92021,48569,2686
8600000US92024,92024,ZCTA5 92024,101096,5789
8600000US92025,92025,ZCTA5 92025,50774,2336
8600000US92026,92026,ZCTA5 92026,59539,2901
8600000US92027,92027,ZCTA5 92027,56250,3382
8600000US92028,92028,ZCTA5 92028,60196,2953
8600000US92029,92029,ZCTA5 92029,86250,7765
8600000US92036,92036,ZCTA5 92036,45156,8920
8600000US92037,92037,ZCTA5 92037,102297,4866
8600000US92040,92040,ZCTA5 92040,66960,3676
8600000US92054,92054,ZCTA5 92054,53519,2370
8600000US92055,92055,ZCTA5 92055,-,**
8600000US92056,92056,ZCTA5 92056,63109,2979
8600000US92057,92057,ZCTA5 92057,63473,3065
