business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category,address2
93955,KIPP Bayview Academy,1060 Key Ave,San Francisco,CA,94124,NA,NA,,NA,93955_20180319,3/19/2018 0:00,NA,Non-inspection site visit,,,,"1060 Key Ave, San Francisco, CA"
94269,Raavi Indian Nepalese,1063 Market St,San Francisco,CA,94103,NA,NA,,NA,94269_20180112,1/12/2018 0:00,NA,New Ownership,,,,"1063 Market St, San Francisco, CA"
80233,Buffalo Kitchen,107 Leland Ave,San Francisco,CA,94134,NA,NA,,NA,80233_20161027,10/27/2016 0:00,NA,Complaint,,,,"107 Leland Ave, San Francisco, CA"
88202,Starco Mart,1070 Howard St,San Francisco,CA,94103,NA,NA,,NA,88202_20180314,3/14/2018 0:00,96,Routine - Unscheduled,88202_20180314_103133,Foods not protected from contamination,Moderate Risk,"1070 Howard St, San Francisco, CA"
89242,Phlox Commons,1075 Sutter St,San Francisco,CA,94109,NA,NA,,NA,89242_20161110,11/10/2016 0:00,NA,New Ownership,,,,"1075 Sutter St, San Francisco, CA"
93996,The Board,1077 Mission St,San Francisco,CA,94103,NA,NA,,NA,93996_20180124,1/24/2018 0:00,NA,New Ownership,,,,"1077 Mission St, San Francisco, CA"
72031,Inovino,108 B Carl St,San Francisco,CA,94117,NA,NA,,14155722387,72031_20151229,12/29/2015 0:00,90,Routine - Unscheduled,72031_20151229_103131,Moderate risk vermin infestation,Moderate Risk,"108 B Carl St, San Francisco, CA"
89459,FogcutterSF,1080 Howard St,San Francisco,CA,94103,NA,NA,,NA,89459_20161205,12/5/2016 0:00,NA,New Ownership,,,,"1080 Howard St, San Francisco, CA"
91907,Saint Frank Coffee,1081 Mission St.,San Francisco,CA,94103,NA,NA,,NA,91907_20170710,7/10/2017 0:00,NA,New Construction,,,,"1081 Mission St., San Francisco, CA"
89336,Miller's Rest,1085 Sutter St,San Francisco,CA,94109,NA,NA,,NA,89336_20170705,7/5/2017 0:00,88,Routine - Unscheduled,89336_20170705_103142,Unclean nonfood contact surfaces,Low Risk,"1085 Sutter St, San Francisco, CA"
70220,Trader Joe's #200,1095 Hyde St,San Francisco,CA,94109,NA,NA,,14155297665,70220_20160511,5/11/2016 0:00,98,Routine - Unscheduled,70220_20160511_103142,Unclean nonfood contact surfaces,Low Risk,"1095 Hyde St, San Francisco, CA"
78113,Urban Putt,1096 South Van Ness Ave,San Francisco,CA,94110,NA,NA,,14155341080,78113_20160628,6/28/2016 0:00,90,Routine - Unscheduled,78113_20160628_103154,Unclean or degraded floors walls or ceilings,Low Risk,"1096 South Van Ness Ave, San Francisco, CA"
85271,The Fine Mousse,1098 Jackson St,San Francisco,CA,94133,NA,NA,,NA,85271_20161014,10/14/2016 0:00,84,Routine - Unscheduled,85271_20161014_103154,Unclean or degraded floors walls or ceilings,Low Risk,"1098 Jackson St, San Francisco, CA"
86545,Yemen Cafe & Restaurant,1098 Sutter St,San Francisco,CA,94109,NA,NA,,14155448832,86545_20171005,10/5/2017 0:00,82,Routine - Unscheduled,86545_20171005_103103,High risk food holding temperature,High Risk,"1098 Sutter St, San Francisco, CA"
90341,Dumpling Time,11 Division St.,San Francisco,CA,94103,NA,NA,,NA,90341_20170517,5/17/2017 0:00,NA,New Ownership,90341_20170517_103131,Moderate risk vermin infestation,Moderate Risk,"11 Division St., San Francisco, CA"
86644,Morock 'N' Roll,110 Hunters Point Shipyard,San Francisco,CA,94124,NA,NA,,14155727215,86644_20160323,3/23/2016 0:00,NA,New Ownership,,,,"110 Hunters Point Shipyard, San Francisco, CA"
89222,Ugly Juice LLC,110 Hunter's Point Shipyard,San Francisco,CA,94124,NA,NA,,NA,89222_20161019,10/19/2016 0:00,NA,New Ownership,,,,"110 Hunter's Point Shipyard, San Francisco, CA"
78102,Pho Luen Fat Bakery & Restaurant,110 Leland Ave,San Francisco,CA,94134,NA,NA,,NA,78102_20180321,3/21/2018 0:00,83,Routine - Unscheduled,78102_20180321_103109,Unclean or unsanitary food contact surfaces,High Risk,"110 Leland Ave, San Francisco, CA"
92199,San Francisco Proper Hotel,1100 Market St,San Francisco,CA,94102,NA,NA,,NA,92199_20171019,10/19/2017 0:00,NA,New Ownership,,,,"1100 Market St, San Francisco, CA"
92201,San Francisco Proper Hotel,1100 Market St 1st Floor,San Francisco,CA,94102,NA,NA,,NA,92201_20170630,6/30/2017 0:00,NA,New Construction,,,,"1100 Market St 1st Floor, San Francisco, CA"
92200,San Francisco Proper Hotel,1100 Market St Basement,San Francisco,CA,94102,NA,NA,,NA,92200_20170901,9/1/2017 0:00,NA,New Ownership,,,,"1100 Market St Basement, San Francisco, CA"
80614,The Market Hall,1101 4th St,San Francisco,CA,94158,NA,NA,,NA,80614_20161222,12/22/2016 0:00,75,Routine - Unscheduled,80614_20161222_103156,Permit license or inspection report not posted,Low Risk,"1101 4th St, San Francisco, CA"
87613,Tommy's Joynt,1101 Geary Blvd,San Francisco,CA,94109,NA,NA,,NA,87613_20170424,4/24/2017 0:00,NA,Reinspection/Followup,,,,"1101 Geary Blvd, San Francisco, CA"
86166,May Sun Market LLC,1101 Grant Ave,San Francisco,CA,94133,NA,NA,,NA,86166_20160907,9/7/2016 0:00,NA,Reinspection/Followup,,,,"1101 Grant Ave, San Francisco, CA"
87757,Luna's Coffee House,1101 Potrero Ave,San Francisco,CA,94110,NA,NA,,14155685344,87757_20160712,7/12/2016 0:00,NA,New Ownership,87757_20160712_103142,Unclean nonfood contact surfaces,Low Risk,"1101 Potrero Ave, San Francisco, CA"
